#count,ra,dec,rottelpos
1,353.420833,-16.791667,0.00
2,355.020833,-16.591667,-3.00
3,356.220833,-16.691667,-8.00
4,358.020833,-16.891667,-10.00
5,353.620833,-15.491667,-7.00
6,355.020833,-15.191667,-4.00
7,356.220833,-15.091667,-8.00
8,357.820833,-15.191667,-10.00
9,353.520833,-13.591667,2.00
10,354.720833,-13.991667,-1.00
11,356.520833,-13.991667,-9.00
12,358.020833,-13.691667,-10.00
13,353.220833,-12.391667,10.00
14,354.720833,-12.191667,6.00
15,356.620833,-12.491667,8.00
16,358.120833,-12.491667,6.00
